Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
157,31,9,37,8,Some Random Commen with Id 157
158,31,9,107,2,Some Random Commen with Id 158
159,31,9,167,2,Some Random Commen with Id 159
160,32,4,164,5,Some Random Commen with Id 160
161,32,4,162,9,Some Random Commen with Id 161
162,33,2,14,8,Some Random Commen with Id 162
163,33,2,28,9,Some Random Commen with Id 163
164,34,1,142,8,Some Random Commen with Id 164
165,34,1,22,3,Some Random Commen with Id 165
166,35,7,73,3,Some Random Commen with Id 166
167,35,7,92,6,Some Random Commen with Id 167
168,35,7,122,9,Some Random Commen with Id 168
169,36,1,167,6,Some Random Commen with Id 169
170,36,1,181,0,Some Random Commen with Id 170
171,36,1,144,1,Some Random Commen with Id 171
172,36,1,131,7,Some Random Commen with Id 172
173,36,1,133,1,Some Random Commen with Id 173
174,36,1,40,3,Some Random Commen with Id 174
175,36,1,158,6,Some Random Commen with Id 175
176,37,6,105,5,Some Random Commen with Id 176
177,37,6,114,4,Some Random Commen with Id 177
178,37,6,94,5,Some Random Commen with Id 178
179,38,3,39,8,Some Random Commen with Id 179
180,38,3,59,1,Some Random Commen with Id 180
181,38,3,187,2,Some Random Commen with Id 181
