Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
146,30,0,141,2,Some Random Commen with Id 146
147,30,0,1,4,Some Random Commen with Id 147
148,30,0,13,9,Some Random Commen with Id 148
149,30,0,78,6,Some Random Commen with Id 149
150,31,1,36,9,Some Random Commen with Id 150
151,31,1,71,4,Some Random Commen with Id 151
152,31,1,49,1,Some Random Commen with Id 152
153,31,1,73,5,Some Random Commen with Id 153
154,31,1,152,5,Some Random Commen with Id 154
155,32,8,79,9,Some Random Commen with Id 155
156,33,6,74,1,Some Random Commen with Id 156
157,33,6,170,3,Some Random Commen with Id 157
158,33,6,12,8,Some Random Commen with Id 158
159,34,9,22,9,Some Random Commen with Id 159
160,34,9,104,7,Some Random Commen with Id 160
161,35,6,172,3,Some Random Commen with Id 161
162,35,6,149,9,Some Random Commen with Id 162
163,35,6,86,7,Some Random Commen with Id 163
164,35,6,171,1,Some Random Commen with Id 164
165,35,6,113,0,Some Random Commen with Id 165
166,36,1,8,2,Some Random Commen with Id 166
167,36,1,151,4,Some Random Commen with Id 167
168,36,1,54,9,Some Random Commen with Id 168
169,36,1,25,7,Some Random Commen with Id 169
170,36,1,92,3,Some Random Commen with Id 170
171,36,1,90,0,Some Random Commen with Id 171
172,37,8,80,5,Some Random Commen with Id 172
173,37,8,106,2,Some Random Commen with Id 173
174,37,8,192,3,Some Random Commen with Id 174
175,37,8,3,2,Some Random Commen with Id 175
176,37,8,180,0,Some Random Commen with Id 176
177,37,8,37,7,Some Random Commen with Id 177
178,37,8,44,3,Some Random Commen with Id 178
179,37,8,118,8,Some Random Commen with Id 179
180,38,1,80,7,Some Random Commen with Id 180
181,38,1,192,1,Some Random Commen with Id 181
182,38,1,105,0,Some Random Commen with Id 182
183,39,7,113,1,Some Random Commen with Id 183
184,39,7,7,0,Some Random Commen with Id 184
185,39,7,165,6,Some Random Commen with Id 185
186,39,7,91,8,Some Random Commen with Id 186
187,39,7,33,7,Some Random Commen with Id 187
188,39,7,18,7,Some Random Commen with Id 188
189,39,7,147,8,Some Random Commen with Id 189
